mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__learning_rate,param_model__model_type,param_model__units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
80.74156196912129,2.020335658547833,1.1729528109232585,0.022645545543300928,32,50,0.2,0.001,lstm,30,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 30}",-3.45655826522858e-05,-0.00012088989999867637,-0.034427098046130616,-0.011527517842927193,0.016192486798597902,8
106.9994945526123,0.06097209820549872,1.7017314434051514,0.6578190933743022,32,50,0.2,0.001,lstm,50,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 50}",-4.8073897265020616e-05,-0.00014822830314533122,-0.03260699289467847,-0.01093443169836294,0.01532486953358898,7
82.24117843310039,1.7497203399519377,1.1922338008880615,0.0280007240781903,32,50,0.2,0.0001,lstm,30,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 30}",-2.1175228753042624e-05,-4.481458243278697e-05,-0.03162167990182186,-0.010562556571002564,0.014891052040330657,6
109.60786358515422,1.9843994712178736,1.242592414220174,0.01822987050704404,32,50,0.2,0.0001,lstm,50,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 50}",-3.560195062283238e-05,-4.8184775172472576e-05,-0.04028224488354682,-0.013455343869780709,0.018969484320590136,12
81.14190530776978,0.812502624642926,1.1687289873758953,0.014358054853930205,32,50,0.3,0.001,lstm,30,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 30}",-0.00011399889203629954,-0.0001361474498989936,-0.03619196123580866,-0.012147369192581317,0.017002096489032902,10
107.86664779980977,2.0756528304087234,1.2952938079833984,0.022818844789922414,32,50,0.3,0.001,lstm,50,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 50}",-1.3477628758732774e-05,-0.00022077432353657866,-0.031013748633431548,-0.010416000195242286,0.0145650534619024,5
81.24072456359863,2.8846961178105848,1.6709260145823162,0.6847353412035997,32,50,0.3,0.0001,lstm,30,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 30}",-5.2519429420690524e-05,-4.0143262199394614e-05,-0.03515015995486836,-0.011747607548829482,0.016548104274718315,9
109.22985418637593,1.725288035976144,1.312405029932658,0.03261273586694764,32,50,0.3,0.0001,lstm,50,"{'batch_size': 32, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 50}",-2.2024806395837e-05,-6.368808065332251e-05,-0.059387936582754125,-0.01982454982326776,0.02797554423501154,14
58.38322114944458,0.7293266652278718,1.3111876646677654,0.22493922748004105,64,50,0.2,0.001,lstm,30,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 30}",-1.4283074540355147e-05,-0.00011899818875244555,-0.07813052868415728,-0.026087936649150028,0.03679969456943392,16
69.5634515285492,1.4378024563239689,1.2223697503407795,0.08213397042358112,64,50,0.2,0.001,lstm,50,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 50}",-2.788320593481732e-05,-0.00015870475729966752,-0.06551452286073926,-0.021900370274657913,0.03083990929430095,15
60.14841262499491,1.661802137021986,1.1359485785166423,0.015623797507549407,64,50,0.2,0.0001,lstm,30,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 30}",-2.0946225883081397e-05,-5.69815149948756e-05,-0.025351183520335836,-0.008476370420404599,0.011932303843033933,3
71.43590911229451,0.7078906121787167,1.671677827835083,0.6815856220004894,64,50,0.2,0.0001,lstm,50,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.2, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 50}",-1.516875569468297e-05,-4.158794155768545e-05,-0.029792890493433033,-0.009949882396895133,0.014031129729588107,4
61.439216454823814,1.0665007821873462,1.3303105036417644,0.21587135486566214,64,50,0.3,0.001,lstm,30,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 30}",-2.576200288666519e-05,-0.0001315459120954501,-0.019386759539736204,-0.006514689151572773,0.009102030711778454,2
71.29801551500957,2.4524674653572225,1.1987545490264893,0.002299803434781816,64,50,0.3,0.001,lstm,50,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.001, 'model__model_type': 'lstm', 'model__units': 50}",-1.2214883319075323e-05,-0.0001393578373555978,-0.0387727915999795,-0.012974788106884724,0.01824201705778883,11
60.332297563552856,1.2155809811907112,1.2115964889526367,0.1012896783204692,64,50,0.3,0.0001,lstm,30,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 30}",-3.974417656517015e-05,-6.0183090564638006e-05,-0.0014171101315769118,-0.00050567913290224,0.0006445330538770951,1
72.42570678393047,2.5923803502401523,1.611768086751302,0.19772069214247173,64,50,0.3,0.0001,lstm,50,"{'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.3, 'model__learning_rate': 0.0001, 'model__model_type': 'lstm', 'model__units': 50}",-1.759961297055416e-05,-5.557807611216459e-05,-0.04261573528005829,-0.014229637656380337,0.020072008109415247,13
